學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
110,國立,普通科,學術群,22305,12,27,11,406,5,5,33,0.053799597,0.121049092,0.049316297,1.820219682,0.022416499,0.022416499,0.14794889
110,國立,專業群科,機械群,2697,5,39,24,14,6,0,3,0.185391175,1.446051168,0.889877642,0.519095291,0.22246941,0,0.111234705
110,國立,專業群科,動力機械群,832,1,12,15,4,1,1,5,0.120192308,1.442307692,1.802884615,0.480769231,0.120192308,0.120192308,0.600961538
110,國立,專業群科,電機與電子群,3323,5,65,31,15,1,1,19,0.150466446,1.956063798,0.932891965,0.451399338,0.030093289,0.030093289,0.571772495
110,國立,專業群科,化工群,673,0,5,2,2,1,0,1,0,0.742942051,0.29717682,0.29717682,0.14858841,0,0.14858841
110,國立,專業群科,土木與建築群,805,1,12,14,3,0,1,2,0.124223602,1.49068323,1.739130435,0.372670807,0,0.124223602,0.248447205
110,國立,專業群科,商業與管理群,4602,7,17,43,20,3,0,23,0.152107779,0.369404607,0.934376358,0.434593655,0.065189048,0,0.499782703
110,國立,專業群科,外語群,780,2,0,2,1,0,1,0,0.256410256,0,0.256410256,0.128205128,0,0.128205128,0
110,國立,專業群科,設計群,1107,1,1,9,11,1,0,1,0.090334237,0.090334237,0.81300813,0.993676603,0.090334237,0,0.090334237
110,國立,專業群科,農業群,1138,2,8,21,3,1,0,2,0.175746924,0.702987698,1.845342707,0.263620387,0.087873462,0,0.175746924
110,國立,專業群科,食品群,897,0,4,24,2,0,0,3,0,0.445930881,2.675585284,0.22296544,0,0,0.334448161
110,國立,專業群科,家政群,822,1,0,7,0,1,1,2,0.121654501,0,0.851581509,0,0.121654501,0.121654501,0.243309002
110,國立,專業群科,餐旅群,1140,2,8,17,6,3,0,11,0.175438596,0.701754386,1.49122807,0.526315789,0.263157895,0,0.964912281
110,國立,專業群科,水產群,105,1,1,2,0,0,0,1,0.952380952,0.952380952,1.904761905,0,0,0,0.952380952
110,國立,專業群科,海事群,219,14,4,2,0,1,0,2,6.392694064,1.826484018,0.913242009,0,0.456621005,0,0.913242009
110,國立,專業群科,藝術群,139,5,1,0,0,0,0,1,3.597122302,0.71942446,0,0,0,0,0.71942446
110,國立,專業群科,服務群,567,27,3,61,1,6,0,16,4.761904762,0.529100529,10.75837743,0.176366843,1.058201058,0,2.821869489
110,國立,綜合高中,學術群,2819,0,3,4,26,1,0,4,0,0.106420717,0.141894289,0.922312877,0.035473572,0,0.141894289
110,國立,綜合高中,機械群,65,0,0,0,1,0,0,0,0,0,0,1.538461538,0,0,0
110,國立,綜合高中,電機與電子群,122,0,0,0,2,0,0,0,0,0,0,1.639344262,0,0,0
110,國立,綜合高中,化工群,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,土木與建築群,48,0,0,0,1,0,0,0,0,0,0,2.083333333,0,0,0
110,國立,綜合高中,商業與管理群,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,外語群,110,0,2,0,0,0,0,0,0,1.818181818,0,0,0,0,0
110,國立,綜合高中,設計群,38,0,0,1,0,0,0,0,0,0,2.631578947,0,0,0,0
110,國立,綜合高中,農業群,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,食品群,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,餐旅群,117,6,1,0,1,0,0,0,5.128205128,0.854700855,0,0.854700855,0,0,0
110,國立,綜合高中,水產群,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,綜合,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,實用技能學程,機械群,290,0,14,4,0,1,0,1,0,4.827586207,1.379310345,0,0.344827586,0,0.344827586
110,國立,實用技能學程,動力機械群,111,1,5,6,1,1,0,0,0.900900901,4.504504505,5.405405405,0.900900901,0.900900901,0,0
110,國立,實用技能學程,電機與電子群,212,0,5,8,3,0,0,1,0,2.358490566,3.773584906,1.41509434,0,0,0.471698113
110,國立,實用技能學程,土木與建築群,52,0,1,0,1,0,0,0,0,1.923076923,0,1.923076923,0,0,0
110,國立,實用技能學程,商業與管理群,228,0,7,4,4,0,0,2,0,3.070175439,1.754385965,1.754385965,0,0,0.877192982
110,國立,實用技能學程,設計群,87,0,0,2,0,1,0,0,0,0,2.298850575,0,1.149425287,0,0
110,國立,實用技能學程,農業群,116,0,0,3,1,0,1,0,0,0,2.586206897,0.862068966,0,0.862068966,0
110,國立,實用技能學程,食品群,166,2,1,11,0,0,0,0,1.204819277,0.602409639,6.626506024,0,0,0,0
110,國立,實用技能學程,餐旅群,276,5,2,5,0,2,0,3,1.811594203,0.724637681,1.811594203,0,0.724637681,0,1.086956522
110,國立,實用技能學程,水產群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,實用技能學程,海事群,16,0,0,3,0,0,0,2,0,0,18.75,0,0,0,12.5
110,國立,實用技能學程,美容造型群,127,0,0,2,0,0,0,0,0,0,1.57480315,0,0,0,0
110,國立,進修部,學術群,77,0,0,2,0,0,0,10,0,0,2.597402597,0,0,0,12.98701299
110,國立,進修部,機械群,207,2,7,3,0,1,0,1,0.966183575,3.381642512,1.449275362,0,0.483091787,0,0.483091787
110,國立,進修部,動力機械群,84,0,3,1,0,0,0,1,0,3.571428571,1.19047619,0,0,0,1.19047619
110,國立,進修部,電機與電子群,223,1,7,2,1,1,2,0,0.448430493,3.139013453,0.896860987,0.448430493,0.448430493,0.896860987,0
110,國立,進修部,化工群,15,0,1,1,0,0,0,1,0,6.666666667,6.666666667,0,0,0,6.666666667
110,國立,進修部,土木與建築群,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,進修部,商業與管理群,562,2,9,26,5,4,0,27,0.355871886,1.601423488,4.62633452,0.889679715,0.711743772,0,4.804270463
110,國立,進修部,設計群,94,0,0,2,2,0,0,0,0,0,2.127659574,2.127659574,0,0,0
110,國立,進修部,農業群,36,0,2,3,0,2,0,1,0,5.555555556,8.333333333,0,5.555555556,0,2.777777778
110,國立,進修部,食品群,90,0,2,0,0,0,0,11,0,2.222222222,0,0,0,0,12.22222222
110,國立,進修部,家政群,95,0,0,4,0,2,0,0,0,0,4.210526316,0,2.105263158,0,0
110,國立,進修部,餐旅群,113,0,1,1,0,0,0,0,0,0.884955752,0.884955752,0,0,0,0
110,縣市立,普通科,學術群,44368,25,45,15,656,2,19,50,0.056346917,0.10142445,0.03380815,1.478543094,0.004507753,0.042823657,0.112693833
110,縣市立,專業群科,機械群,1962,4,23,2,27,0,2,4,0.203873598,1.172273191,0.101936799,1.376146789,0,0.101936799,0.203873598
110,縣市立,專業群科,動力機械群,649,1,6,3,10,0,0,1,0.154083205,0.92449923,0.462249615,1.540832049,0,0,0.154083205
110,縣市立,專業群科,電機與電子群,3234,4,13,11,33,0,2,6,0.123685838,0.401978973,0.340136054,1.020408163,0,0.061842919,0.185528757
110,縣市立,專業群科,化工群,465,0,4,0,1,0,0,0,0,0.860215054,0,0.215053763,0,0,0
110,縣市立,專業群科,土木與建築群,564,0,1,1,9,0,0,0,0,0.177304965,0.177304965,1.595744681,0,0,0
110,縣市立,專業群科,商業與管理群,3323,2,6,3,7,0,0,1,0.060186578,0.180559735,0.090279868,0.210653024,0,0,0.030093289
110,縣市立,專業群科,外語群,530,1,3,0,6,0,1,0,0.188679245,0.566037736,0,1.132075472,0,0.188679245,0
110,縣市立,專業群科,設計群,1173,0,0,3,10,3,1,0,0,0,0.255754476,0.852514919,0.255754476,0.085251492,0
110,縣市立,專業群科,農業群,282,0,0,2,0,0,0,1,0,0,0.709219858,0,0,0,0.354609929
110,縣市立,專業群科,食品群,120,0,0,0,2,0,0,0,0,0,0,1.666666667,0,0,0
110,縣市立,專業群科,家政群,395,0,0,1,2,0,0,0,0,0,0.253164557,0.506329114,0,0,0
110,縣市立,專業群科,餐旅群,233,0,0,0,1,0,0,0,0,0,0,0.429184549,0,0,0
110,縣市立,專業群科,藝術群,103,0,2,0,2,0,0,0,0,1.941747573,0,1.941747573,0,0,0
110,縣市立,專業群科,服務群,488,28,2,64,5,14,0,25,5.737704918,0.409836066,13.1147541,1.024590164,2.868852459,0,5.12295082
110,縣市立,綜合高中,學術群,1411,1,3,3,27,2,1,0,0.070871722,0.212615167,0.212615167,1.913536499,0.141743444,0.070871722,0
110,縣市立,綜合高中,機械群,22,0,0,0,2,0,0,0,0,0,0,9.090909091,0,0,0
110,縣市立,綜合高中,電機與電子群,95,0,0,0,1,0,0,0,0,0,0,1.052631579,0,0,0
110,縣市立,綜合高中,化工群,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,綜合高中,土木與建築群,40,0,1,0,1,0,0,0,0,2.5,0,2.5,0,0,0
110,縣市立,綜合高中,商業與管理群,147,1,1,0,0,0,0,0,0.680272109,0.680272109,0,0,0,0,0
110,縣市立,綜合高中,外語群,16,0,0,0,9,0,0,0,0,0,0,56.25,0,0,0
110,縣市立,綜合高中,設計群,97,0,0,1,0,0,0,0,0,0,1.030927835,0,0,0,0
110,縣市立,綜合高中,農業群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,綜合高中,餐旅群,83,0,2,3,5,0,0,0,0,2.409638554,3.614457831,6.024096386,0,0,0
110,縣市立,綜合高中,藝術群,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,綜合高中,綜合,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,實用技能學程,機械群,56,0,2,1,0,0,0,0,0,3.571428571,1.785714286,0,0,0,0
110,縣市立,實用技能學程,動力機械群,34,1,2,0,0,0,0,0,2.941176471,5.882352941,0,0,0,0,0
110,縣市立,實用技能學程,電機與電子群,94,2,0,3,2,0,0,0,2.127659574,0,3.191489362,2.127659574,0,0,0
110,縣市立,實用技能學程,土木與建築群,4,0,0,1,0,0,0,0,0,0,25,0,0,0,0
110,縣市立,實用技能學程,商業與管理群,29,0,2,0,1,0,0,2,0,6.896551724,0,3.448275862,0,0,6.896551724
110,縣市立,實用技能學程,設計群,10,0,0,0,0,0,0,1,0,0,0,0,0,0,10
110,縣市立,實用技能學程,食品群,16,0,0,0,0,1,0,0,0,0,0,0,6.25,0,0
110,縣市立,實用技能學程,餐旅群,39,0,0,0,0,0,2,0,0,0,0,0,0,5.128205128,0
110,縣市立,進修部,學術群,256,0,1,3,0,1,0,74,0,0.390625,1.171875,0,0.390625,0,28.90625
110,縣市立,進修部,機械群,138,1,5,2,1,0,1,0,0.724637681,3.623188406,1.449275362,0.724637681,0,0.724637681,0
110,縣市立,進修部,動力機械群,123,0,6,1,2,0,0,0,0,4.87804878,0.81300813,1.62601626,0,0,0
110,縣市立,進修部,電機與電子群,190,2,6,1,1,1,0,3,1.052631579,3.157894737,0.526315789,0.526315789,0.526315789,0,1.578947368
110,縣市立,進修部,化工群,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,進修部,土木與建築群,43,0,1,0,1,0,0,1,0,2.325581395,0,2.325581395,0,0,2.325581395
110,縣市立,進修部,商業與管理群,229,1,2,12,4,1,0,3,0.436681223,0.873362445,5.240174672,1.746724891,0.436681223,0,1.310043668
110,縣市立,進修部,外語群,10,0,0,0,0,0,1,0,0,0,0,0,0,10,0
110,縣市立,進修部,設計群,38,1,0,1,2,1,0,0,2.631578947,0,2.631578947,5.263157895,2.631578947,0,0
110,縣市立,進修部,食品群,30,0,1,1,0,2,0,0,0,3.333333333,3.333333333,0,6.666666667,0,0
110,縣市立,進修部,家政群,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,進修部,餐旅群,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,私立,普通科,學術群,21239,12,40,24,332,8,45,11,0.056499835,0.188332784,0.11299967,1.563162107,0.037666557,0.211874382,0.051791516
110,私立,專業群科,機械群,998,2,24,5,1,1,1,2,0.200400802,2.404809619,0.501002004,0.100200401,0.100200401,0.100200401,0.200400802
110,私立,專業群科,動力機械群,2474,11,90,48,4,5,1,5,0.444624091,3.637833468,1.94017785,0.161681487,0.202101859,0.040420372,0.202101859
110,私立,專業群科,電機與電子群,4521,11,82,51,14,9,1,36,0.243309002,1.813758018,1.128069011,0.309666003,0.199071002,0.022119,0.796284008
110,私立,專業群科,土木與建築群,100,0,3,2,1,0,0,1,0,3,2,1,0,0,1
110,私立,專業群科,商業與管理群,4603,16,54,63,10,7,11,14,0.347599392,1.173147947,1.368672605,0.21724962,0.152074734,0.238974582,0.304149468
110,私立,專業群科,外語群,3093,14,12,11,17,2,4,9,0.452634982,0.387972842,0.355641772,0.549628193,0.06466214,0.129324281,0.290979631
110,私立,專業群科,設計群,3620,12,15,41,16,12,3,10,0.331491713,0.414364641,1.132596685,0.44198895,0.331491713,0.082872928,0.276243094
110,私立,專業群科,農業群,43,0,0,2,2,0,0,0,0,0,4.651162791,4.651162791,0,0,0
110,私立,專業群科,食品群,153,1,8,3,0,0,0,3,0.653594771,5.22875817,1.960784314,0,0,0,1.960784314
110,私立,專業群科,家政群,3675,16,6,131,28,23,3,34,0.43537415,0.163265306,3.56462585,0.761904762,0.62585034,0.081632653,0.925170068
110,私立,專業群科,餐旅群,9340,22,120,227,22,8,19,84,0.235546039,1.284796574,2.430406852,0.235546039,0.085653105,0.203426124,0.899357602
110,私立,專業群科,海事群,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,私立,專業群科,藝術群,1904,6,22,8,39,5,11,9,0.31512605,1.155462185,0.420168067,2.048319328,0.262605042,0.577731092,0.472689076
110,私立,專業群科,服務群,270,25,0,33,1,7,0,7,9.259259259,0,12.22222222,0.37037037,2.592592593,0,2.592592593
110,私立,綜合高中,學術群,539,0,1,1,2,1,1,0,0,0.185528757,0.185528757,0.371057514,0.185528757,0.185528757,0
110,私立,綜合高中,電機與電子群,179,6,1,0,2,0,0,0,3.351955307,0.558659218,0,1.117318436,0,0,0
110,私立,綜合高中,化工群,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,私立,綜合高中,商業與管理群,288,0,0,0,1,0,0,0,0,0,0,0.347222222,0,0,0
110,私立,綜合高中,外語群,202,0,1,1,0,1,3,0,0,0.495049505,0.495049505,0,0.495049505,1.485148515,0
110,私立,綜合高中,設計群,65,0,1,1,0,0,0,0,0,1.538461538,1.538461538,0,0,0,0
110,私立,綜合高中,家政群,117,0,0,0,0,2,0,0,0,0,0,0,1.709401709,0,0
110,私立,綜合高中,餐旅群,203,3,2,0,2,3,0,2,1.477832512,0.985221675,0,0.985221675,1.477832512,0,0.985221675
110,私立,綜合高中,綜合,21,0,1,0,0,0,0,2,0,4.761904762,0,0,0,0,9.523809524
110,私立,實用技能學程,機械群,68,1,1,5,0,0,0,0,1.470588235,1.470588235,7.352941176,0,0,0,0
110,私立,實用技能學程,動力機械群,770,1,58,15,1,1,0,1,0.12987013,7.532467532,1.948051948,0.12987013,0.12987013,0,0.12987013
110,私立,實用技能學程,電機與電子群,601,0,19,12,2,0,0,4,0,3.161397671,1.996672213,0.332778702,0,0,0.665557404
110,私立,實用技能學程,商業與管理群,295,1,0,3,0,5,0,0,0.338983051,0,1.016949153,0,1.694915254,0,0
110,私立,實用技能學程,設計群,74,0,0,4,0,0,0,0,0,0,5.405405405,0,0,0,0
110,私立,實用技能學程,農業群,85,0,0,2,0,0,0,0,0,0,2.352941176,0,0,0,0
110,私立,實用技能學程,食品群,202,0,5,12,0,1,0,2,0,2.475247525,5.940594059,0,0.495049505,0,0.99009901
110,私立,實用技能學程,餐旅群,2320,7,67,137,8,4,1,12,0.301724138,2.887931034,5.905172414,0.344827586,0.172413793,0.043103448,0.517241379
110,私立,實用技能學程,藝術群,102,7,0,2,0,0,0,0,6.862745098,0,1.960784314,0,0,0,0
110,私立,實用技能學程,美容造型群,591,2,0,39,1,2,1,2,0.338409475,0,6.598984772,0.169204738,0.338409475,0.169204738,0.338409475
110,私立,進修部,學術群,117,0,2,0,0,0,0,39,0,1.709401709,0,0,0,0,33.33333333
110,私立,進修部,機械群,63,0,4,0,0,0,0,0,0,6.349206349,0,0,0,0,0
110,私立,進修部,動力機械群,255,0,9,15,1,0,0,1,0,3.529411765,5.882352941,0.392156863,0,0,0.392156863
110,私立,進修部,電機與電子群,131,2,4,5,1,1,0,1,1.526717557,3.053435115,3.816793893,0.763358779,0.763358779,0,0.763358779
110,私立,進修部,商業與管理群,1063,3,19,70,3,4,2,41,0.282220132,1.787394167,6.585136406,0.282220132,0.376293509,0.188146754,3.857008467
110,私立,進修部,外語群,144,0,3,3,1,0,0,4,0,2.083333333,2.083333333,0.694444444,0,0,2.777777778
110,私立,進修部,設計群,217,1,1,2,2,3,1,7,0.460829493,0.460829493,0.921658986,0.921658986,1.382488479,0.460829493,3.225806452
110,私立,進修部,家政群,697,4,5,30,0,3,0,4,0.573888092,0.717360115,4.304160689,0,0.430416069,0,0.573888092
110,私立,進修部,餐旅群,2280,9,53,82,11,13,4,16,0.394736842,2.324561404,3.596491228,0.48245614,0.570175439,0.175438596,0.701754386
110,私立,進修部,藝術群,71,0,2,1,0,3,0,0,0,2.816901408,1.408450704,0,4.225352113,0,0
